,0
50,12.442723539806925
51,8.527712997385613
52,4.807791662736983
53,2.695978543570532
54,1.6158236078799675
55,1.2785507402051584
56,1.253200165183849
57,2.053396576726043
58,4.894865376940611
59,10.210770739017748
60,13.154744038231522
61,9.067790465230894
62,4.93785113458544
63,2.7742346664624
64,1.6378675861593668
65,1.22895178907651
66,1.2278495901625401
67,1.8946799331143684
68,4.265509797063761
69,9.767686775601824
70,13.132700059952121
71,9.51418102538873
72,5.168210707605162
73,2.8447753969564777
74,1.6444807796431866
75,1.1562066607544923
76,1.1617176553243422
77,1.7591094666960627
78,3.9513831065823215
79,8.975205756457418
80,12.638914946493578
81,9.904359440934098
82,5.492257188312332
83,2.954995288353474
84,1.681955542718165
85,1.1451846716147926
86,1.0823593335185047
87,1.6676269568365556
88,3.6923663617993796
89,8.248856672151213
90,13.289212305735857
91,10.286822464081675
92,5.939749947384136
93,3.3451737038988414
94,1.8858623418026088
95,1.2509957673559091
96,1.163922053152282
97,1.751394074298273
98,4.341561522127689
99,10.678103078541012
