,0
50,22.472424309332368
51,15.544009173536423
52,14.945010746810551
53,17.121371697247895
54,21.47409359812258
55,28.4923584979274
56,38.84504797317291
57,50.166118238291936
58,55.18772171567717
59,41.68030719300873
60,26.705346524861874
61,15.933358150908242
62,14.156329484954817
63,16.29275720694377
64,20.82517863583621
65,28.222809205900756
66,38.17616639666236
67,49.97643540316208
68,55.457271007703824
69,44.016401057239634
70,26.835129517319146
71,16.113057678926005
72,14.405912162757264
73,16.222874057159082
74,20.855128557172506
75,28.222809205900756
76,38.29596608200753
77,48.838338392382916
78,55.25760486546186
79,43.16781995271131
80,27.234461801803064
81,16.791922562548663
82,15.344343031294468
83,16.42254019940104
84,20.98491154962978
85,28.86174086107502
86,39.3841465572262
87,50.964782807259766
88,53.86992517688025
89,48.4290228007869
90,30.678702755476834
91,19.397565718806213
92,17.590587131516493
93,18.828517213416635
94,23.390888563645372
95,31.806816459143896
96,40.71192640313522
97,51.603714462434034
98,53.650292420414104
99,47.85997429539732
