,0
0,0.0
1,0.1008384202581046
2,0.2006488565226854
3,0.2984138044476411
4,0.3931366121483298
5,0.48385164043793466
6,0.5696341069089657
7,0.6496095135057065
8,0.7229625614794605
9,0.7889454628442574
10,0.8468855636029834
11,0.8961922010299563
12,0.9363627251042848
13,0.9669876227092996
14,0.9877546923600838
15,0.9984522269003895
16,0.9989711717233568
17,0.9893062365143401
18,0.9695559491823237
19,0.9399216514301312
20,0.9007054462029555
21,0.8523071179396752
22,0.7952200570230491
23,0.7300262299764464
24,0.6573902466827755
25,0.5780525851065732
26,0.4928220425889235
27,0.40256749066949654
28,0.30820901749007684
29,0.2107085480771929
30,0.11106003812412972
31,0.010279341240534697
32,-0.09060614703340773
33,-0.19056796287548539
34,-0.28858705872043244
35,-0.38366419180611233
36,-0.47483011082223947
37,-0.5611554368152017
38,-0.6417601376193878
39,-0.7158224992291902
40,-0.7825875026542022
41,-0.8413745208608701
42,-0.8915842573351402
43,-0.9327048555318336
44,-0.9643171169287782
45,-0.9860987744909296
46,-0.9978277779792126
47,-0.9993845576124357
48,-0.9907532430056771
49,-0.9720218249588334
50,-0.9433812584459996
51,-0.9051235159501367
52,-0.8576386109880517
53,-0.8014106221689696
54,-0.7370127583189133
55,-0.6651015149788224
56,-0.5864099818472351
57,-0.5017403693939113
58,-0.4119558308308628
59,-0.31797166281061867
60,-0.22074597455506334
61,-0.12126992053716677
62,-0.020557596287260064
63,0.08036429967028173
64,0.18046693235991093
65,0.27872981867755725
66,0.37415123057121996
67,0.4657584070256517
68,0.5526174707464059
69,0.6338429484489058
70,0.7086067976992182
71,0.7761468482835805
72,0.8357745720522589
73,0.8868821020290788
74,0.9289484292312513
75,0.9615447140268235
76,0.9843386578838236
77,0.9970978909438748
78,0.9996923408861117
79,0.9920955589323228
80,0.9743849894755358
81,0.9467411805833543
82,0.9094459434244625
83,0.8628794793817834
84,0.8075165041395626
85,0.7439214082568444
86,0.6727425035622647
87,0.5947054140244975
88,0.510605678474283
89,0.4213006405886069
90,0.32770070881349983
91,0.23076007532505177
92,0.13146698864295842
93,0.03083367906114098
94,-0.07011396040064677
95,-0.1703468323280965
96,-0.26884312591038406
97,-0.3645987336558887
98,-0.45663748763377376
99,-0.5440211108893698
