,0
0,-0.9433812584459996
1,-0.9051235159501367
2,-0.8576386109880517
3,-0.8014106221689696
4,-0.7370127583189133
5,-0.6651015149788224
6,-0.5864099818472351
7,-0.5017403693939113
8,-0.4119558308308628
9,-0.31797166281061867
10,-0.22074597455506334
11,-0.12126992053716677
12,-0.020557596287260064
13,0.08036429967028173
14,0.18046693235991093
15,0.27872981867755725
16,0.37415123057121996
17,0.4657584070256517
18,0.5526174707464059
19,0.6338429484489058
20,0.7086067976992182
21,0.7761468482835805
22,0.8357745720522589
23,0.8868821020290788
24,0.9289484292312513
25,0.9615447140268235
26,0.9843386578838236
27,0.9970978909438748
28,0.9996923408861117
29,0.9920955589323228
30,0.9743849894755358
31,0.9467411805833543
32,0.9094459434244625
33,0.8628794793817834
34,0.8075165041395626
35,0.7439214082568444
36,0.6727425035622647
37,0.5947054140244975
38,0.510605678474283
39,0.4213006405886069
40,0.32770070881349983
41,0.23076007532505177
42,0.13146698864295842
43,0.03083367906114098
44,-0.07011396040064677
45,-0.1703468323280965
46,-0.26884312591038406
47,-0.3645987336558887
48,-0.45663748763377376
49,-0.5440211108893698
