,0
0,0.0
1,0.29723669636478994
2,0.35731232068365043
3,0.31400343283581517
4,0.2658506613017554
5,0.2763996252711843
6,0.5125668840229931
7,0.8213306024653062
8,0.904692003505352
9,0.8359092688805237
10,0.7510016097427562
11,0.6906549095579945
12,0.8269244019004807
13,1.1011919697892814
14,1.1874980595407356
15,1.0771774441953517
16,0.9349562187030002
17,0.7968245485599679
18,0.8165405234794576
19,1.0260383164995077
20,1.108645031902862
21,0.9628270783015163
22,0.7627916389259003
23,0.5591688233575705
24,0.4725940596036935
25,0.6090706323756119
26,0.696851634809383
27,0.543796414408815
28,0.30701979733145596
29,0.0672299958091792
30,-0.09212802438832517
31,-0.016367871218267358
32,0.09607603630212311
33,-0.021632587975475907
34,-0.2585526002011206
35,-0.496585924158364
36,-0.682921776868982
37,-0.6432616363528787
38,-0.4858739294920512
39,-0.5247246878703163
40,-0.7209978401303243
41,-0.922534526378412
42,-1.0923324360221007
43,-1.0635734870874078
44,-0.8511970021637174
45,-0.781194487204739
46,-0.9043741465592269
47,-1.0487593672504296
48,-1.1741422739236054
49,-1.1413121193229188
